Year,Value,UNIT_MEASURE,SERIES
2015,1.7,PER_100000_POP,SL_EMP_INJUR
2016,15.0,PER_100000_POP,SL_EMP_INJUR
2017,1.1,PER_100000_POP,SL_EMP_INJUR
2018,2.1,PER_100000_POP,SL_EMP_INJUR
2019,1.5,PER_100000_POP,SL_EMP_INJUR
2015,0.6,PER_100000_POP,SL_EMP_FTLINJUR
2016,6.0,PER_100000_POP,SL_EMP_FTLINJUR
2017,0.2,PER_100000_POP,SL_EMP_FTLINJUR
2018,0.2,PER_100000_POP,SL_EMP_FTLINJUR
2019,0.3,PER_100000_POP,SL_EMP_FTLINJUR
