Year,Value,UNIT_MEASURE,SERIES
2015,53,PER_100000_POP,SH_STA_TRAF
2016,49,PER_100000_POP,SH_STA_TRAF
2017,49,PER_100000_POP,SH_STA_TRAF
2018,44,PER_100000_POP,SH_STA_TRAF
2019,42,PER_100000_POP,SH_STA_TRAF
