Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2015,SG_GEN_LOCG,,F,PT,20.6
2016,SG_GEN_LOCG,,F,PT,20.6
2017,SG_GEN_LOCG,,F,PT,20.6
2018,SG_GEN_LOCG,,F,PT,20.6
2019,SG_GEN_LOCG,,F,PT,23.8
