Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,Value
2015,SH_DYN_MORT,,,Y0T4,PER_100_LIVE_BIRTHS,43
2017,SH_DYN_MORT,,,Y0T4,PER_100_LIVE_BIRTHS,33
2015,SH_DYN_MORT,,M,Y0T4,PER_100_LIVE_BIRTHS,51
2017,SH_DYN_MORT,,M,Y0T4,PER_100_LIVE_BIRTHS,40
2015,SH_DYN_MORT,,F,Y0T4,PER_100_LIVE_BIRTHS,46
2017,SH_DYN_MORT,,F,Y0T4,PER_100_LIVE_BIRTHS,26
