Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2016,FB_ATM_TOTL,,NUMBER,7990
2017,FB_ATM_TOTL,,NUMBER,685
2018,FB_ATM_TOTL,,NUMBER,678
2019,FB_ATM_TOTL,,NUMBER,678
2015,FB_CBK_BRCH,,NUMBER,354
2016,FB_CBK_BRCH,,NUMBER,3530
2017,FB_CBK_BRCH,,NUMBER,266
2018,FB_CBK_BRCH,,NUMBER,230
2019,FB_CBK_BRCH,,NUMBER,242
