Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,SH_STA_TRAF,,PER_100000_POP,53
2016,SH_STA_TRAF,,PER_100000_POP,49
2017,SH_STA_TRAF,,PER_100000_POP,49
2018,SH_STA_TRAF,,PER_100000_POP,44
2019,SH_STA_TRAF,,PER_100000_POP,42
