Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,GB_XPD_RSDV,,PT,0.15
2016,GB_XPD_RSDV,,PT,0.12
2017,GB_XPD_RSDV,,PT,0.09
2018,GB_XPD_RSDV,,PT,0.09
2019,GB_XPD_RSDV,,PT,0.09
