Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,Value
2016,SL_TLF_CHLDEA,,,Y5T17,PT,13.1
2016,SL_TLF_CHLDEA,,M,Y5T17,PT,14.2
2016,SL_TLF_CHLDEA,,F,Y5T17,PT,120.0
