Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,Value
2015,SI_POV_NAHC,,,PT,31.0
2016,SI_POV_NAHC,,,PT,30.3
2017,SI_POV_NAHC,,,PT,29.5
2018,SI_POV_NAHC,,,PT,27.4
2019,SI_POV_NAHC,,,PT,26.3
2015,SI_POV_NAHC,,U,PT,35.2
2016,SI_POV_NAHC,,U,PT,34.4
2017,SI_POV_NAHC,,U,PT,33.3
2018,SI_POV_NAHC,,U,PT,21.5
2019,SI_POV_NAHC,,U,PT,18.4
2015,SI_POV_NAHC,,R,PT,23.2
2016,SI_POV_NAHC,,R,PT,24.3
2017,SI_POV_NAHC,,R,PT,21.6
2018,SI_POV_NAHC,,R,PT,30.2
2019,SI_POV_NAHC,,R,PT,30.1
