Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,DT_TDS_DECT,,PT,101.1
2016,DT_TDS_DECT,,PT,78.3
2017,DT_TDS_DECT,,PT,64.1
2018,DT_TDS_DECT,,PT,48.1
2019,DT_TDS_DECT,,PT,46.7
