Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,AG_LND_FRST,,PT,30
2016,AG_LND_FRST,,PT,30
2017,AG_LND_FRST,,PT,30
2018,AG_LND_FRST,,PT,30
2019,AG_LND_FRST,,PT,30
