Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,Value
2015,SH_DYN_NMRT,,,M0,PT,19
2017,SH_DYN_NMRT,,,M0,PT,13
2015,SH_DYN_NMRT,,M,M0,PT,21
2017,SH_DYN_NMRT,,M,M0,PT,16
2015,SH_DYN_NMRT,,F,M0,PT,18
2017,SH_DYN_NMRT,,F,M0,PT,10
