Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,Value
2015,SP_DYN_ADKL,,F,Y15T19,PER_1000_POP,46.39
2016,SP_DYN_ADKL,,F,Y15T19,PER_1000_POP,40.58
2017,SP_DYN_ADKL,,F,Y15T19,PER_1000_POP,30.85
2018,SP_DYN_ADKL,,F,Y15T19,PER_1000_POP,40.06
