Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,SL_TLF_MANF,,PT,25
2016,SL_TLF_MANF,,PT,25
2017,SL_TLF_MANF,,PT,36
2018,SL_TLF_MANF,,PT,35
2019,SL_TLF_MANF,,PT,24
