Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,SH_DTH_NCD,,PER_100000_POP,190.3
2016,SH_DTH_NCD,,PER_100000_POP,186.9
2017,SH_DTH_NCD,,PER_100000_POP,174.2
2018,SH_DTH_NCD,,PER_100000_POP,182.1
2019,SH_DTH_NCD,,PER_100000_POP,170.6
