Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2015,SH_STA_MORT,,F,PER_100000_LIVE_BIRTHS,28.4
2016,SH_STA_MORT,,F,PER_100000_LIVE_BIRTHS,25.2
2017,SH_STA_MORT,,F,PER_100000_LIVE_BIRTHS,24.1
2018,SH_STA_MORT,,F,PER_100000_LIVE_BIRTHS,24.1
2019,SH_STA_MORT,,F,PER_100000_LIVE_BIRTHS,23.6
