Year,Value,UNIT_MEASURE,SERIES
2015,25,PT,SL_TLF_MANF
2016,25,PT,SL_TLF_MANF
2017,36,PT,SL_TLF_MANF
2018,35,PT,SL_TLF_MANF
2019,24,PT,SL_TLF_MANF
