Year,Value,UNIT_MEASURE,SERIES
2015,101.1,PT,DT_TDS_DECT
2016,78.3,PT,DT_TDS_DECT
2017,64.1,PT,DT_TDS_DECT
2018,48.1,PT,DT_TDS_DECT
2019,46.7,PT,DT_TDS_DECT
