Year,Value,UNIT_MEASURE,SERIES
2015,103.5,PT,NY_GDP_PCAP
2016,104.5,PT,NY_GDP_PCAP
2017,104.8,PT,NY_GDP_PCAP
2018,105.3,PT,NY_GDP_PCAP
