Year,Value,UNIT_MEASURE,SERIES
2016,7990,NUMBER,FB_ATM_TOTL
2017,685,NUMBER,FB_ATM_TOTL
2018,678,NUMBER,FB_ATM_TOTL
2019,678,NUMBER,FB_ATM_TOTL
2015,354,NUMBER,FB_CBK_BRCH
2016,3530,NUMBER,FB_CBK_BRCH
2017,266,NUMBER,FB_CBK_BRCH
2018,230,NUMBER,FB_CBK_BRCH
2019,242,NUMBER,FB_CBK_BRCH
