Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,SH_STA_SCIDEN,,PER_100000_POP,2.6
2016,SH_STA_SCIDEN,,PER_100000_POP,2.7
2017,SH_STA_SCIDEN,,PER_100000_POP,20.0
2018,SH_STA_SCIDEN,,PER_100000_POP,2.4
2019,SH_STA_SCIDEN,,PER_100000_POP,2.4
