Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,SL_EMP_GTOTL,,PT,174
2016,SL_EMP_GTOTL,,PT,177
2017,SL_EMP_GTOTL,,PT,165
2018,SL_EMP_GTOTL,,PT,165
2019,SL_EMP_GTOTL,,PT,167
